Vendor,Document,Waybill,Shop Address,Amount,Date,Status
Kiryat Shmona,IL-Z,AR-M,75567 Sachtjen Parkway,381,1/14/2023,4685
La Verne,US-CA,CA-ON,1 Dovetail Plaza,1011,3/27/2023,1023
Kapanga,CD-KA,BY-MA,777 Huxley Way,3025,11/15/2022,637
Lambarene,GA-3,OM-WU,94 American Ash Avenue,82,2/6/2023,473
Erenhot,CN-15,CR-P,42 Petterle Trail,3301,5/23/2022,33
Shaktoolik,US-AK,US-NM,9 Kim Alley,24,11/10/2022,4289
Stara Zagora,BG-24,KZ-KAR,89 Vahlen Center,558,11/8/2022,1446
St Paul,US-MN,US-NV,3948 Monument Way,705,8/11/2022,4700
Durango,US-CO,BR-PA,1 Darwin Circle,6685,11/22/2022,440
Kenora,CA-ON,RE-U-A,76521 Fremont Alley,1332,7/1/2022,59
Fritzlar,DE-HE,RU-SA,49 Luster Place,1345,1/15/2023,1660
Pendleton,US-OR,MX-BCS,3 Texas Center,1497,2/10/2023,800
Ölgii,MN-071,GB-ENG,01 Algoma Street,,3/15/2023,55
Arequipa,PE-ARE,NP-GA,2930 Goodland Terrace,8405,6/3/2022,11001
Lebel-sur-Quévillon,CA-QC,IL-D,18 East Road,960,12/24/2022,656
Jabor Jaluit Atoll,MH-JAL,ID-KI,14 Old Shore Alley,4,8/22/2022,33
Tougan,BF-SOR,SL-W,62 Transport Road,984,7/15/2022,60
Ambatondrazaka,MG-A,US-MO,47465 Ilene Trail,2513,3/4/2023,870
Macará,EC-L,CL-VS,129 2nd Crossing,1508,6/5/2022,227
Moala,FJ-E,ES-CS,16559 Bobwhite Lane,13,8/13/2022,1145
Alexander Bay,ZA-NC,FJ-N,077 Burrows Road,98,10/16/2022,88
Nelson,NZ-NSN,US-FL,36 Continental Park,17,9/4/2022,30
Cherskiy,RU-SA,AU-SA,8 Ludington Avenue,20,1/14/2023,
Sanikiluaq,CA-NU,MY-13,72 Talmadge Road,104,5/5/2022,2150
Eastover,US-SC,DJ-AS,07 Harper Terrace,254,2/26/2023,2320
Bielefeld,DE-NW,BR-RO,29 Blue Bill Park Crossing,454,4/13/2023,555
Jacksonville,US-AR,PK-PB,84375 Petterle Place,311,8/7/2022,1646
San Andrés,CO-SAP,PK-SD,53 Judy Road,19,4/3/2023,219
Bentota,LK-1,IN-BR,904 Rusk Parkway,,6/27/2022,170
Tegucigalpa,HN-FM,GB-ENG,1 Dottie Place,3294,10/5/2022,13
Jequié,BR-BA,US-ME,398 Lien Alley,646,11/9/2022,83
Jacobina,BR-BA,US-AZ,056 Harbort Hill,1640,2/3/2023,3179
Aurora,SR-SI,CA-NT,014 Ramsey Circle,236,3/14/2023,1413
Lusambo,CD-KE,PT-17,27263 Meadow Vale Circle,1407,7/19/2022,1805
Kelanoa,PG-MPL,AR-B,48608 Merchant Court,40,4/23/2023,278
Yeosu,KR-46,PK-BA,3 Mcbride Street,53,12/19/2022,33
Jacksonville,US-TX,CN-34,1 Hagan Center,677,5/12/2022,108
Frankfurt am Main,DE-HE,PL-SL,34 East Circle,384,3/4/2023,1316
Abbse,YE-SN,MD-RS,28119 Sage Junction,651,3/27/2023,758
Kamarang,GY-CU,GB-ENG,6589 Manufacturers Place,1601,8/7/2022,53
St George,US-UT,FR-I,10881 Stone Corner Lane,2941,7/28/2022,645
Tanacross,US-AK,NA-OT,8 Rieder Center,1549,5/12/2022,3639
Gütersloh,DE-NW,DZ-36,66 Anzinger Court,236,2/7/2023,16
Mombaça,BR-CE,RU-BA,89001 Autumn Leaf Center,748,3/30/2023,449
Pangoa,PG-WPD,CA-QC,82323 Southridge Avenue,60,5/22/2022,112
Cleveland,US-OH,NO-05,2334 Starling Crossing,879,10/22/2022,2697
Mohe,CN-23,CA-NT,80 Schlimgen Circle,1836,2/9/2023,332
Surigao City,PH-SUN,AU-QLD,492 Sachtjen Way,20,8/1/2022,41
Itokama,PG-NPP,TH-16,27 Carberry Park,2563,11/9/2022,95
Palmar Sur,CR-P,FR-R,73 Tony Terrace,49,2/14/2023,443
Joensuu / Liperi,FI-IS,AU-NT,91 Maple Wood Way,398,10/3/2022,85
Ciudad del Carmen,MX-CAM,MZ-B,54 Everett Point,10,5/5/2022,2287
Shawnee,US-OK,US-KS,16171 Gerald Pass,1073,11/29/2022,1953
Pine Bluff,US-AR,MF-U-A,03069 Michigan Point,206,5/28/2022,0
Lawrenceville,US-IL,IT-52,853 Thierer Hill,430,8/9/2022,17
Camp Roberts/San Miguel,US-CA,US-MI,2806 Mendota Road,630,8/8/2022,1182
Quion Hill,VU-SEE,US-KY,3876 Stuart Way,16,5/4/2022,979
Itokama,PG-NPP,US-WI,87 Leroy Alley,2563,10/19/2022,742
León,ES-CL,US-IL,26428 Sundown Crossing,3006,7/24/2022,768
Cox's Bazar,BD-2,DE-NW,6 Morrow Place,12,11/11/2022,1966
Chignik,US-AK,AU-NT,0754 Luster Point,,3/21/2023,256
Kagau Island,SB-CH,US-OH,647 Arizona Road,30,7/3/2022,1192
Ancud,CL-LL,MM-02,12047 Maple Wood Parkway,315,11/30/2022,120
Santiago,DO-25,CA-QC,4 Delladonna Avenue,565,11/14/2022,129
,AU-QLD,NP-KO,37 Waubesa Drive,1110,5/20/2022,236
Gabbs,US-NV,PG-WPD,84 Moulton Circle,4700,9/30/2022,51
Taszár,HU-SO,AU-QLD,560 Logan Place,531,9/12/2022,15
,US-TX,US-WI,9806 Oriole Point,,4/29/2022,1478
Donegal,IE-DL,US-AK,7 Caliangt Road,30,12/13/2022,55
El Bagre,CO-ANT,ET-GA,74569 Judy Crossing,180,5/28/2022,1614
Qishn,YE-MR,MX-TAM,112 Evergreen Park,98,6/14/2022,80
Fort Lewis/Tacoma,US-WA,AU-QLD,487 Utah Court,300,1/11/2023,390
Crane,US-TX,PM-ML,99 Sloan Junction,2552,6/1/2022,10
Indore,IN-MP,US-OH,261 Troy Terrace,1850,5/30/2022,483
Simikot,NP-KA,BR-RS,01854 Fairfield Lane,9246,11/3/2022,502
Namatanai,PG-NIK,US-WA,45257 Prairie Rose Crossing,150,11/14/2022,31
Guarujá,BR-SP,US-HI,0621 Vernon Avenue,10,7/13/2022,24
Altair,BR-SP,AU-QLD,70207 Maywood Court,1673,10/16/2022,2228
Santarém,BR-PA,US-ND,2 3rd Way,440,10/4/2022,1661
Granite Mountain,US-AK,CN-23,96 Doe Crossing Lane,1313,4/17/2023,8530
Andahuaylas,PE-APU,RU-KO,59149 Manufacturers Trail,11300,9/8/2022,262
Decatur,US-WA,US-VA,85225 Orin Junction,38,1/12/2023,193
Roanne/Renaison,FR-V,US-FL,33 Fulton Terrace,1106,1/6/2023,3
Dhaka,BD-3,AU-WA,66 Spaight Avenue,30,12/6/2022,1502
Brunswick,US-GA,BR-PA,1317 2nd Way,19,1/17/2023,656
Tum,ET-SN,AU-QLD,34 Moulton Plaza,4700,3/14/2023,
Pekanbaru-Sumatra Island,ID-RI,US-CA,46371 Merry Street,102,1/31/2023,2
Leirvik,NO-12,US-NY,23059 Lindbergh Hill,160,12/22/2022,954
Red Lake,CA-ON,US-TX,983 Karstens Point,1265,8/28/2022,15
San Diego,US-CA,RU-YAR,2163 Monica Drive,17,8/29/2022,423
Qian Gorlos Mongol Autonomous County,CN-22,AU-WA,2 Victoria Place,459,11/29/2022,1203
Torembi,PG-ESW,EG-JS,1 Ridgeway Avenue,90,12/21/2022,143
Ust-Kuyga,RU-SA,TH-23,8 Veith Drive,315,1/16/2023,105
Tamarindo,CR-G,DE-NI,08 Del Sol Terrace,41,9/24/2022,7
,AU-NT,BS-BI,13 Crescent Oaks Plaza,91,6/26/2022,10
Changzhou,CN-32,US-AZ,905 Westport Terrace,,4/12/2023,5157
Jacmel,HT-SE,PA-5,7 Talisman Lane,167,2/15/2023,1047
Rockland,US-ME,AR-B,197 Hoepker Hill,56,4/2/2023,67
Plainview,US-TX,PK-NA,27 Fieldstone Lane,3374,11/19/2022,4796
Valparaiso,US-FL,BR-PR,7 Delaware Place,87,4/23/2023,3314
Edremit,TR-10,US-AK,02 Eliot Avenue,50,11/29/2022,40
Blackstone,US-VA,US-AK,4755 Bartillon Trail,439,12/12/2022,12
Iki,JP-42,CA-ON,894 Mitchell Way,41,6/16/2022,925
Corsicana,US-TX,US-CT,386 Corben Street,449,9/25/2022,18
Moolawatana Station,AU-SA,GW-BL,00 Acker Center,265,6/28/2022,
Teófilo Otoni,BR-MG,US-OK,1 Forster Trail,1572,12/4/2022,720
Baia Mare,RO-MM,LK-1,82213 Iowa Way,605,3/30/2023,0
Leiden,NL-ZH,MH-MAL,4060 Green Lane,1,4/17/2023,4
Marseille,FR-U,BJ-CO,10 Pine View Court,74,12/29/2022,597
Santa Rosa,US-CA,NZ-WTC,44 Shoshone Hill,128,9/14/2022,10
Milingimbi Island,AU-NT,AU-QLD,8475 Oakridge Terrace,53,9/12/2022,645
Dori,BF-SEN,PF-U-A,76 Sundown Park,919,12/29/2022,220
Easton,US-WA,GB-ENG,53 Troy Way,2226,8/5/2022,400
Rennell Island,SB-RB,EC-G,2 Valley Edge Alley,,10/20/2022,18
Sidney,US-NE,IN-KA,0317 Farragut Avenue,4313,1/22/2023,30
Weihai,CN-37,US-OH,0 Gateway Road,145,1/18/2023,580
Vagar,FO-U-A,US-AK,9 8th Way,280,5/7/2022,79
Perugia,IT-55,US-AK,836 Ohio Park,697,5/19/2022,158
Nzérékoré,GN-N,CA-ON,0 Elka Alley,1657,11/26/2022,1125
Gerald's Park,MS-U-A,LK-7,33702 Mockingbird Parkway,550,11/14/2022,170
Medford,US-WI,BR-MA,01 Sachs Trail,1478,9/9/2022,509
Horizontina,BR-RS,US-OH,89404 Fairfield Alley,1063,2/21/2023,879
Santo Antônio Do Içá,BR-AM,US-IA,03 Vahlen Circle,131,2/23/2023,730
Florence,US-OR,US-CA,2871 Portage Junction,51,5/30/2022,4012
Lovelock,US-NV,FM-YAP,6 Riverside Crossing,3904,5/31/2022,6
La Ribera,MX-BCS,CA-NU,738 Becker Way,55,12/17/2022,110
Tanjung Selor-Borneo Island,ID-KU,CR-A,887 Springview Plaza,10,8/31/2022,184
Kumamoto,JP-43,US-CA,23 Morrow Terrace,642,11/1/2022,336
Muskrat Dam,CA-ON,AU-TAS,548 Monterey Point,911,1/8/2023,48
Vopnafjörður,IS-7,AU-QLD,9049 Crowley Trail,16,10/27/2022,145
,BS-RI,BR-MA,99 Pawling Hill,6,8/7/2022,85
Tegucigalpa,HN-FM,IQ-BG,28805 Farmco Place,3294,12/30/2022,114
Little Cayman,KY-U-A,VU-TAE,4 Jenna Circle,3,4/18/2023,19
Lake Rudolf,KE-700,BZ-OW,5 Summer Ridge Alley,1300,4/2/2023,111
Cap Haitien,HT-ND,IS-4,1 Carioca Road,10,2/12/2023,11
Crane,US-TX,US-NY,0 Fremont Place,2552,8/14/2022,75
Longyearbyen,NO-21,BR-SP,15 Susan Drive,88,5/30/2022,3012
Namlea-Buru Island,ID-MA,PG-WPD,59 Northview Drive,41,3/7/2023,305
Fort Pierce,US-FL,BR-RS,0 Independence Place,24,1/17/2023,256
Dumai-Sumatra Island,ID-RI,BR-RS,52470 Kinsman Crossing,55,1/7/2023,27
Sana'a,YE-SN,US-TN,3 Muir Parkway,7216,11/24/2022,308
Yiwu,CN-33,US-OH,61842 Bunting Junction,262,9/16/2022,813
Sharana,AF-PKA,JP-32,78622 Russell Place,7340,2/9/2023,15
Camaxilo,AO-LNO,ID-KI,1351 Porter Avenue,3957,4/29/2022,59
Boston,US-MA,IR-05,42 Petterle Center,0,9/2/2022,4404
Valdez,US-AK,HK-U-A,44794 Del Mar Pass,121,11/15/2022,28
,SA-01,MY-11,18 Merrick Place,1651,9/2/2022,36
Perryville,US-AK,US-VA,3578 Veith Alley,29,8/8/2022,41
Magda,BR-SP,US-NJ,569 Thompson Street,1437,2/26/2023,187
Grimsby,GB-ENG,BR-MT,37932 Amoth Hill,121,10/27/2022,1083
Valcartier,CA-QC,CA-QC,01 Fordem Road,550,10/31/2022,700
Ust-Tsylma,RU-KO,US-AK,6703 Autumn Leaf Court,262,2/5/2023,0
Hartley Bay,CA-BC,BR-SC,72 Northland Plaza,0,3/13/2023,2180
Campbell River,CA-BC,CL-ML,4 Little Fleur Road,346,7/16/2022,591
Tanjung Pandan-Belitung Island,ID-BB,US-AK,1838 Badeau Hill,164,7/15/2022,40
Diego Garcia,IO-U-A,DJ-DJ,15536 American Plaza,9,5/22/2022,49
Bouarfa,MA-FIG,JP-23,0 Victoria Lane,3630,3/14/2023,52
Cruzeiro Do Sul,BR-AC,PG-WPD,70 Lunder Junction,637,11/5/2022,157
Islamabad,PK-PB,AU-WA,00158 Mosinee Street,1646,9/8/2022,1217
Botucatu,BR-SP,US-CA,33 Beilfuss Hill,3012,12/2/2022,61
Rafah,PS-RFH,MH-AUR,3256 Crownhardt Street,320,7/14/2022,
Morichal,CO-VAU,CN-63,760 Crescent Oaks Junction,552,6/7/2022,12816
Yari,CO-CAQ,US-IA,6787 Florence Road,569,11/11/2022,1156
Mengomeyén,GQ-WN,ST-P,5 Elka Place,2165,2/23/2023,591
Great Bend,US-KS,JP-46,9 Grim Street,1887,8/29/2022,27
Lüliang,CN-61,GR-17,381 Truax Court,,1/18/2023,26
Muzaffarabad,PK-JK,US-CA,7787 Westport Way,2691,10/7/2022,2351
Gavião Peixoto,BR-SP,IN-RJ,35461 Morning Drive,1998,2/23/2023,1684
Deadman's Cay,BS-LI,CN-63,2342 Melvin Hill,9,3/6/2023,12816
Pori,FI-LS,US-CA,18365 Kropf Avenue,44,7/27/2022,3415
Decatur,US-AL,BR-AC,37 Kropf Parkway,592,5/13/2022,637
Abu Simbel,EG-ASN,GB-ENG,12 Dixon Plaza,616,3/8/2023,14
Puerto Ordaz-Ciudad Guayana,VE-F,TH-80,42 Mesta Terrace,472,2/11/2023,64
Santo Domingo,DO-01,MR-11,68243 Dunning Lane,190,2/15/2023,961
Magdalena,BO-B,IN-BR,868 Pankratz Road,462,6/19/2022,847
Dubrovnik,HR-19,US-AZ,41977 Montana Hill,527,4/13/2023,1510
El Dorado,AR-N,AU-QLD,7104 La Follette Hill,685,6/11/2022,470
Miyazaki,JP-45,PL-PK,57 Lighthouse Bay Parkway,20,3/29/2023,675
Cruzeiro Do Sul,BR-AC,US-IN,9 Parkside Court,637,5/9/2022,973
Kjevik,NO-10,TR-17,05613 Brown Street,57,11/2/2022,73
Mokuleia,US-HI,AU-QLD,57 Brentwood Parkway,14,1/9/2023,65
Cape Lisburne,US-AK,NP-JA,46717 Eggendart Trail,16,12/7/2022,256
Düsseldorf,DE-NW,US-NY,20972 Badeau Center,147,7/3/2022,814
Cocos (Keeling) Islands,CC-U-A,MY-13,7 Kingsford Way,10,10/6/2022,750
El Alamein,EG-MT,BD-2,268 Tennessee Road,143,10/13/2022,12
Trinidad,US-CO,AU-QLD,4 Forest Run Road,5762,4/12/2023,638
Algeciras,ES-CA,US-MO,36459 Cody Crossing,98,9/22/2022,294
Tatitlek,US-AK,KR-48,5 Fisk Center,62,1/17/2023,25
Castori Islets,PG-MBA,MH-UJA,6928 4th Road,31,1/24/2023,29
Passo Fundo,BR-RS,CA-NT,690 8th Junction,2376,8/9/2022,268
Laurel,US-MS,PG-GPK,35 Chive Point,238,2/1/2023,54
Flint,US-MI,PG-NIK,73085 Gateway Street,782,5/28/2022,217
Charles City,US-IA,CN-33,5761 Badeau Terrace,1125,2/15/2023,13
Andenes,NO-18,PG-CPK,992 Twin Pines Plaza,43,12/15/2022,8400
London,GB-ENG,PL-LB,26177 Judy Hill,19,12/26/2022,194
Novo Aripuanã,BR-AM,CA-ON,16 Corry Road,118,7/1/2022,1198
Apalapsili,ID-PA,MX-SON,174 Butternut Hill,3100,7/29/2022,71
Lake Charles,US-LA,US-TX,75140 Mallory Trail,17,3/21/2023,3245
Svolvær,NO-18,FR-B,33 Waubesa Plaza,27,12/30/2022,616
Dwangwa,MW-NK,RO-MS,58511 High Crossing Street,1605,9/28/2022,963
Castro,BR-PR,US-AK,36143 Susan Center,3314,8/18/2022,230
Bunju Island,ID-KU,AU-NSW,8 Harper Hill,118,1/12/2023,966
Ji-Paraná,BR-RO,AR-S,48785 Corscot Plaza,598,3/24/2023,285
Singleton,AU-NSW,SL-N,31 Sugar Lane,46,10/8/2022,84
Pagosa Springs,US-CO,CD-KA,2 Dapin Junction,7664,2/6/2023,2772
Tachina,EC-E,MX-PUE,25628 Caliangt Circle,32,6/4/2022,5509
Dalnerechensk,RU-PRI,US-TN,0348 Moland Terrace,272,4/30/2022,434
Tocopilla,CL-AN,RU-KHA,6 6th Road,3475,7/7/2022,
Sungei Tekai,MY-01,US-NY,3717 Golf View Road,160,5/29/2022,491
San Antonio Oeste,AR-R,US-NE,0 Northfield Avenue,85,9/3/2022,2777
Baucau,TL-BA,OM-WU,6741 Canary Street,1771,12/28/2022,560
Rebun,JP-01,US-MA,819 Village Green Pass,92,12/7/2022,739
Ngiva,AO-CNN,ID-KT,60 Tennyson Parkway,3566,4/1/2023,75
Nanga Pinoh-Borneo Island,ID-KB,US-AZ,4534 Boyd Trail,123,10/15/2022,1893
Lubbock,US-TX,CO-ANT,4 Schlimgen Crossing,3282,12/21/2022,2184
Colorado Creek,US-AK,AR-B,7860 Bluestem Place,860,7/7/2022,383
Sable Island,CA-NS,US-AK,3173 Rowland Parkway,4,10/6/2022,
N'Délé,CF-BB,PF-U-A,78 Logan Junction,1631,3/8/2023,10
Hanapepe,US-HI,RU-IN,34 Oxford Pass,24,11/27/2022,1165
Ceiba,PR-U-A,GR-82,13 Delaware Crossing,38,11/14/2022,10
Alegrete,BR-RS,AU-WA,8337 Ruskin Plaza,459,5/3/2022,800
Inhaca,MZ-L,RU-CU,62 Northridge Park,10,2/14/2023,558
,TR-35,NO-15,9622 Clyde Gallagher Road,16,2/20/2023,204
Chiayi City,TW-CYQ,CU-01,13625 Eagan Junction,85,11/7/2022,131
Nikolai,US-AK,PE-APU,7280 Blue Bill Park Alley,441,12/7/2022,11300
Stockton,US-CA,NZ-CAN,25618 Springs Place,33,5/6/2022,20
Rahim Yar Khan,PK-PB,BR-RS,953 Union Avenue,271,11/17/2022,25
Greeley,US-CO,BR-SP,27 Summit Court,4697,8/11/2022,2120
Wonga Wongué Presidential Reserve,GA-3,GB-SCT,06188 Moland Avenue,600,9/13/2022,31
Burwell,US-NE,BR-TO,3 Warbler Parkway,2182,12/11/2022,771
,AU-QLD,TW-HSZ,611 Roxbury Place,15,2/25/2023,26
Enejit Island,MH-MIL,CN-15,53489 Mallory Hill,30,7/13/2022,4560
Duqm,OM-WU,GW-BL,2597 Dixon Terrace,364,9/12/2022,
Jaguaruna,BR-SC,BD-2,8645 Reindahl Crossing,120,1/1/2023,12
Tabubil,PG-WPD,CU-04,2234 Onsgard Pass,1570,11/1/2022,210
Sabetta,RU-YAN,MG-D,70981 Bonner Point,46,7/11/2022,374
Gascoyne Junction,AU-WA,BS-RS,87197 Graedel Terrace,499,5/29/2022,9
Yakushima,JP-46,JP-28,2 Kennedy Trail,124,7/19/2022,22
Barter Island Lrrs,US-AK,PF-U-A,21636 Katie Alley,2,7/29/2022,18
,AU-VIC,NO-11,26 Holy Cross Terrace,397,3/21/2023,29
Cotriguaçu,BR-MT,RU-SA,3 Delaware Point,900,10/4/2022,452
Okhotsk,RU-KHA,LU-L,40 Talmadge Street,,10/14/2022,1234
Leipzig,DE-SN,US-MI,47 Independence Circle,465,3/7/2023,824
Gillette,US-WY,PH-DAO,08634 Arapahoe Circle,4365,3/27/2023,156
Elista,RU-KL,NZ-NTL,879 Maple Crossing,501,5/11/2022,10
Tanjung Pandan-Belitung Island,ID-BB,TO-05,23 Commercial Way,164,1/19/2023,236
Maisi,CU-14,US-AR,5 Grim Terrace,3,11/12/2022,130
South Naknek,US-AK,CA-QC,0 Orin Plaza,162,2/24/2023,32
Buenos Aires,AR-C,CA-NB,61 Chive Way,18,8/3/2022,193
Blackwell,US-OK,AU-NT,5181 Westerfield Junction,1054,5/24/2022,103
Salt Lake City,US-UT,AE-DU,67 Fieldstone Drive,4227,6/14/2022,114
,AU-QLD,UY-AR,218 Spaight Center,55,12/2/2022,70
Isla Viveros,PA-8,GB-SCT,5251 Northport Place,100,4/17/2023,5
Blagoveschensk,RU-AMU,TW-PIF,95 Green Avenue,638,2/2/2023,97
Biratnagar,NP-KO,PF-U-A,6 Marquette Avenue,236,9/13/2022,10
Itapetinga,BR-BA,AU-QLD,361 Chinook Road,915,10/30/2022,21
Montevideo,US-MN,MZ-G,724 Lien Terrace,1034,4/4/2023,
Tivat,ME-19,AU-NT,01 Sundown Park,20,8/1/2022,53
San Juan,AR-J,US-AK,57 Amoth Pass,1958,1/28/2023,50
Bario,MY-13,KR-11,1290 Eliot Park,3350,1/30/2023,59
Gravatai,BR-RS,AE-AZ,2016 Mayer Way,25,1/14/2023,16
Cijulang,ID-JB,FR-R,52 Clarendon Court,16,5/21/2022,194
Saint Anne,GG-U-A,IN-MP,6740 Sutteridge Court,290,10/31/2022,1850
Hyvinkää,FI-ES,US-IA,25 Bartillon Pass,430,11/7/2022,799
Guanambi,BR-BA,US-GA,8 Northland Drive,1815,5/26/2022,355
Culleredo,ES-GA,BR-PA,133 Oxford Crossing,326,6/11/2022,670
Friday Harbor,US-WA,BR-MG,867 International Lane,,12/27/2022,1575
Carti,PA-KY,AU-NT,16052 International Circle,785,6/18/2022,89
Kansas City,US-MO,TM-A,30 Village Green Way,759,9/26/2022,692
Burao,SO-TO,PG-NSB,7 Arapahoe Street,3400,11/16/2022,1770
Bonthe,SL-S,PG-WPD,032 5th Street,14,8/26/2022,97
São Paulo,BR-SP,US-AK,1788 Anzinger Crossing,2459,6/10/2022,30
Hastings,US-NE,PF-U-A,64 Heffernan Road,1961,10/10/2022,9
Gwangju,KR-29,PG-MPL,7 Dapin Lane,39,11/11/2022,34
Daegu,KR-27,AU-QLD,02 Sauthoff Drive,116,10/5/2022,
Wantoat,PG-MPL,FR-H,09 Spohn Drive,3900,10/18/2022,209
Cape Girardeau,US-MO,US-OH,211 Holy Cross Trail,342,4/29/2022,766
Hannover,DE-NI,AU-QLD,124 Loftsgordon Junction,183,11/9/2022,304
Augusta,US-ME,US-AK,83514 Buell Road,352,4/27/2022,650
Lilongwe,MW-LI,DE-BR,3138 Esch Way,4035,10/19/2022,152
Burgas,BG-02,BF-NAM,2609 Marcy Pass,135,6/5/2022,984
Koromiko,NZ-MBH,US-WI,76 Dottie Trail,161,9/2/2022,1201
Kaohsiung City,TW-KHH,TD-LC,4 Mallory Drive,31,3/23/2023,955
Urzhar,KZ-VOS,RU-SAK,8263 Autumn Leaf Point,,10/6/2022,479
Mc Alester,US-OK,US-TN,423 Walton Court,770,7/20/2022,1032
Dolbeau-St-Félicien,CA-QC,PT-20,09 Elka Way,372,5/15/2022,259
Owatonna,US-MN,BY-MA,35814 Meadow Ridge Trail,1145,2/6/2023,637
